,name,trajectory,steps
0,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10], [4, 11], [4, 12], [3, 12], [2, 12], [2, 13], [1, 13]]",13
1,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 6], [6, 6], [5, 6], [5, 7], [5, 8], [4, 8], [3, 8], [3, 9], [3, 10], [2, 10], [2, 11], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",17
2,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 6], [2, 7], [1, 7], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 10], [0, 11], [0, 10], [0, 10], [0, 11], [1, 11], [1, 12], [1, 13]]",22
3,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [4, 6], [3, 6], [3, 7], [3, 8], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",17
4,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [4, 9], [4, 10], [3, 10], [3, 11], [3, 10], [2, 10], [2, 11], [1, 11], [0, 11], [0, 11], [0, 11], [0, 12], [0, 12], [0, 13], [1, 13]]",22
5,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
6,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11], [3, 11], [3, 12], [2, 12], [2, 13], [1, 13]]",13
7,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [4, 9], [3, 9], [2, 9], [2, 10], [1, 10], [2, 10], [1, 10], [2, 10], [2, 11], [2, 10], [2, 11], [1, 11], [1, 12], [1, 13]]",19
8,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [4, 7], [4, 8], [3, 8], [3, 9], [3, 10], [2, 10], [2, 11], [2, 12], [1, 12], [1, 13]]",15
9,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [5, 10], [4, 10], [4, 11], [4, 12], [4, 13], [4, 14], [3, 14], [3, 14], [2, 14], [1, 14], [1, 13]]",16
10,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [5, 10], [4, 10], [3, 10], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",15
11,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]",13
12,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 8], [6, 9], [5, 9], [4, 9], [3, 9], [3, 10], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]",15
13,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [8, 8], [9, 8], [9, 7], [10, 7], [10, 8], [9, 8], [8, 8], [7, 8], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10], [4, 11], [3, 11], [2, 11], [3, 11], [4, 11], [3, 11], [2, 11], [3, 11], [3, 12], [2, 12], [3, 12], [3, 13], [2, 13], [1, 13]]",31
14,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [6, 11], [6, 10], [5, 10], [5, 11], [5, 12], [4, 12], [3, 12], [3, 11], [2, 11], [2, 12], [2, 13], [1, 13]]",19
15,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [6, 11], [5, 11], [5, 12], [5, 13], [5, 14], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",15
16,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [3, 8], [2, 8], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",13
17,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [6, 11], [5, 11], [4, 11], [5, 11], [4, 11], [4, 12], [3, 12], [3, 13], [3, 14], [3, 13], [2, 13], [1, 13]]",17
18,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [1, 11], [1, 12], [1, 13]]",13
19,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [8, 8], [8, 9], [7, 9], [6, 9], [6, 10], [6, 11], [5, 11], [5, 10], [4, 10], [4, 11], [4, 12], [3, 12], [2, 12], [2, 13], [1, 13]]",17
20,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [8, 8], [8, 7], [7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [5, 10], [5, 11], [4, 11], [4, 12], [4, 13], [4, 14], [4, 14], [3, 14], [2, 14], [1, 14], [1, 13]]",20
21,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",13
