,name,trajectory,steps
0,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [3, 9], [2, 9], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",13
1,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [4, 9], [3, 9], [3, 10], [3, 11], [4, 11], [4, 12], [4, 11], [3, 11], [2, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",19
2,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [4, 9], [3, 9], [3, 10], [2, 10], [2, 11], [1, 11], [1, 12], [1, 13]]",13
3,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [2, 8], [1, 8], [1, 9], [1, 10], [0, 10], [0, 10], [0, 11], [0, 12], [0, 11], [1, 11], [1, 12], [1, 13]]",18
4,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [6, 10], [5, 10], [4, 10], [3, 10], [3, 11], [4, 11], [3, 11], [2, 11], [2, 10], [1, 10], [1, 9], [1, 10], [0, 10], [0, 9], [0, 10], [1, 10], [0, 10], [0, 9], [0, 9], [0, 10], [1, 10], [2, 10], [2, 11], [2, 12], [1, 12], [1, 13]]",32
5,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [5, 12], [4, 12], [4, 13], [4, 14], [3, 14], [2, 14], [1, 14], [1, 13]]",15
6,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [3, 9], [3, 10], [3, 11], [2, 11], [2, 10], [1, 10], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",19
7,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [5, 12], [4, 12], [3, 12], [2, 12], [2, 13], [1, 13]]",13
8,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [5, 10], [4, 10], [4, 11], [3, 11], [3, 12], [2, 12], [2, 13], [1, 13]]",13
9,maxRolloutSteps30_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",15
